Delivery_Contractor,Property_ID,Postcode_1,Participant_Age,EmployStatus,EmployType,HouseIncome,Date_Contact,Tenure,Tenure_Length,Social_Group,HP_Awareness,Reason_Sustainability,Sustainability_exp,Reason_Future,Future_exp,Reason_Upgrade,Upgrade_exp,Reason_Building,Building_exp,Reason_Financial,Financial_exp,Reason_Technology,Technology_exp,Reason_Research,Research_exp,Reason_Planned,Planned_exp,Reason_Replacement,Replacement_exp,Reason_Other,Other_exp,Date_Survey,Name_Survey,House_Type,House_Form,House_Env,House_Age,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp,MCS_SCOP,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,HP_NoRec_R1,HP_NoRec_R2,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,Part_No_Reason1,Part_No_Reason2,Date_Installation,Name_Install,HP_Installed,HP_Installed_Detail,HP_Brand,HP_Model,HP_Size_kW,HP_Refrigerant,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures,Comment
OVO,EOH1765,KT18,66.0,Unemployed,Unemployed/Benefits,Prefer not to say,2021-06-09T00:00:00.000Z,Rented (Social),11.0,DE,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,14/03/2021,Retrofitworks,Flat,Flat,Urban,1991-2000,C,1.0,0.0,1.0,48.0,2.0,1.0,3.0,2.38,Cavity_Insulated,Suspended,Pitched,Double,No,Electricity,Electric - Storage,Electric - Storage,Water,100,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.257,36.0,4417.0,1750.0,0.0,,,No,Yes with additional measures,No,No,GSHP,,,Heat Emitters,15920.96,3887.25,320.96,17.0,,Yes,,,31/07/2021,Kensa,GSHP,Shared_Groundloop,Kensa,S6-P0K,3.0,R134a,,PCM_New,,10.5,1.0,0.0,5.0,0.0,None,None,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,2907.89,1982.51,8530.78,3887.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
OVO,EOH1310,RH7,53.0,Working Full time (>30hrs),Clerical,Prefer not to say,2020-07-29T00:00:00.000Z,Owner-Occupied,7.0,C1,3.0,Yes,,Yes,,Yes,My home is currently heated by a gas boiler older than 10 years and I would like to replace this using a renewable heat method.,No,,Yes,"As I will have insulation issues to address also, this would help in a big way.",Yes,I am keen to adopt the use all new technology enabling a greener environment.,Yes,,Yes,,Yes,,No,,25/01/2021,Retrofitworks,House,Detached,Suburban,1945-1964,,2.0,0.0,2.0,100.56,5.0,3.0,7.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Standard,None,Water,130,0.0,1.0,0.0,No,No,,,,,,,,,,,,,,None - Installation not recommended,Programme_TargetMet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2969,NE3,,Prefer not to say,Prefer not to say,Prefer not to say,2020-09-24T00:00:00.000Z,Rented (Social),0.9,DE,1.0,NO,,NO,,YES,opportunity to replace elec storage heaters,NO,,YES,lower bills from elec storage heaters,NO,,NO,,NO,,NO,,NO,,11/01/2021,E.ON,Flat,Flat,Suburban,1967 - 1975,,1.0,0.0,1.0,37.6,2.0,1.0,5.0,2.3,Solid_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,None,Water,80,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.463,65.5,6056.0,1910.0,191.0,,,No,Yes,No,No,GSHP,,,None Required,,14707.5,351.09,14.3,,Yes,,,22/10/2021,Groundheat,GSHP,Shared_Groundloop,Vaillant,20260514,3.0,R410A,900.0,Water_new,100.0,,1.0,6.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,None,no,11605.06,1702.0,,2130.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,
E.ON,EOH1108,ne3,40.0,Working Full time (>30hrs),Skilled Manual Worker,"30,001 - 40,000",2021-01-25T00:00:00.000Z,Owner-Occupied,2.0,C2,4.0,YES,,,,YES,,NO,,YES,,NO,,NO,,NO,,NO,,NO,,15/02/2021,Phoenix,House,Semi-Detached,Urban,1950 - 1966,D,2.0,0.0,2.0,94.0,6.0,4.0,11.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,None,None,,0.0,0.0,1.0,No,No,,,6.48452,70.48,15679.6,5153.0,759.0,,,Yes,No,Yes,Yes,ASHP,,,Loft Insulation and Barrier,12048.75,1000.0,1050.0,14.3,3.8,No,Practical_DisruptionWorks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH0524,TD4,33.0,Working Part time,Professional,"12,501 - 16,200",2021-05-14T00:00:00.000Z,Rented (Social),11.0,C2,4.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,05/08/2021,Warmworks,House,Detached,Suburban,1965-1980,F,,,2.0,68.26,4.0,2.0,4.0,2.45,Cavity_Insulated,Suspended,Pitched,Double,No,,Electric - Direct,None,Water,Normal (90-130l),0.0,0.0,0.0,No,No,,,4.7,79.0,13931.0,2953.0,0.0,50.0,3.58,Yes,No,Yes,No,ASHP,,,,,,704.34,18.0,5.0,Yes,,,16/08/2021,Everwarm,ASHP,,Mitsubishi,PUHZ-W50VHA2,5.0,R410A,0.0,Water_New,150.0,,1.0,8.0,,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,7655.16,3508.272,1610.23,2164.6,,,,,,,2.0,0.0,
Warmworks,EOH0559,G45,36.0,Working Full time (>30hrs),Professional,"50,001+",2020-08-10T00:00:00.000Z,Owner-Occupied,4.0,AB,3.0,Yes,,No,,No,,No,,No,,Yes,,Yes,,No,,No,,No,,21/09/2020,Warmworks,House,Mid-Terrace,Urban,2001+,C,2.0,0.0,2.0,68.76,3.0,2.0,3.0,2.6,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,None,Water,Medium (131-170l),0.0,0.0,0.0,No,No,,,2.9,55.0,1904.0,1371.0,3.0,45.0,3.93,Yes,No,Yes,Yes,ASHP,,,,,,462.0,13.0,4.0,Yes,,,22/02/2021,Montali Energy Services Ltd,ASHP,,Mitsubishi,PUHZ-W50VHA2,5.0,R410A,0.0,Water_New,150.0,,1.0,8.0,,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,Yes,No,0.0,0.0,None,No,7655.16,3508.27,1610.23,2164.61,,,,,,,2.0,0.0,
OVO,EOH2699,ME9,37.0,Working Full time (>30hrs),Professional,"50,001+",2020-12-24T00:00:00.000Z,Owner-Occupied,,C1,4.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,To reduce my bills and carbon footprint,22/01/2021,Retrofitworks,House,End-Terrace,Rural,1965-1980,,2.0,0.0,3.0,114.069,7.0,3.0,7.0,2.3,Cavity_No_insulation,Mix,Pitched,Double,No,Electricity,Electric - Storage,None,Water,150,0.0,0.0,0.0,No,No,,,6.07,53.21,15244.55,6205.0,1951.26,,,Yes,No,Yes,Yes,ASHP,,,Heat Emitters,10746.15,2000.0,874.37,14.0,,Yes,,,27/01/2021,Dawsetway,ASHP,,Mitsubishi,PUZ-WM85VAA,8.5,R32,,Water_New,250.0,,1.0,0.0,0.0,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,5602.0,2498.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,
OVO,EOH0653,KT18,75.0,Retired,Pensioner,Prefer not to say,2021-06-09T00:00:00.000Z,Rented (Social),8.0,C2,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,14/03/2021,Retrofitworks,Flat,Flat,Urban,1991-2000,C,1.0,0.0,1.0,48.0,2.0,1.0,3.0,2.38,Cavity_Insulated,Suspended,Pitched,Double,No,Electricity,Electric - Storage,Electric - Storage,Water,100,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.59,36.0,5377.0,1798.0,0.0,,,No,Yes with additional measures,No,No,GSHP,,,Heat Emitters,15920.96,3887.25,320.96,17.0,,Yes,,,24/07/2021,Kensa,GSHP,Shared_Groundloop,Kensa,S6-P0K,3.0,R134a,,PCM_New,,10.5,1.0,0.0,5.0,0.0,None,None,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,2907.89,1982.51,8530.78,3887.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
OVO,EOH3177,RH17,,Working Full time (>30hrs),Supervisor,Prefer not to say,2021-03-05T00:00:00.000Z,Owner-Occupied,3.0,AB,4.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,10/05/2021,Retrofitworks,House,Semi-Detached,Rural,Pre 1919,,2.0,0.0,2.0,130.0,5.0,3.0,6.0,2.4,Cavity_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,None,Water,170,0.0,0.0,0.0,No,No,,,6.522,57.25,18389.0,4839.0,108.0,50.0,3.64,Yes,No,Yes,No,ASHP,,,,13288.78,0.0,1065.0,16.0,,Yes,,,02/06/2021,A Greener Alternative,ASHP,,Mitsubishi,PUZ-WM85VAA,8.5,R32,,Water_New,250.0,,1.0,0.0,0.0,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,5677.83,2445.95,4380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Warmworks,EOH0769,TD6,73.0,Retired,Pensioner,"30,001 - 40,000",2020-10-08T00:00:00.000Z,Owner-Occupied,41.0,DE,2.0,Yes,,No,,Yes,,No,,Yes,,No,,No,,No,,No,,No,,14/04/2021,Warmworks,House,Detached,Rural,1965-1980,C,3.0,0.0,2.0,119.94,6.0,3.0,5.0,2.38,Cavity_Insulated,Suspended,Pitched,Double,No,,Electric - Direct,None,Water,Large (> 170l),0.0,0.0,0.0,No,No,13854.0,,8.1,73.5,20751.0,3937.0,0.0,45.0,4.14,Yes,No,Yes,No,ASHP,,,,,,985.5,18.0,5.0,Yes,,,21/06/2021,Everwarm,ASHP,,Mitsubishi,PUZ-WM85VAA-BS,8.5,R32,0.0,Water_New,200.0,,1.0,11.0,,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,8575.73,3572.208,1610.23,2976.33,,,,,,,2.0,0.0,
